Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
NotaFeature,Success,1,0,2023-05-30 11:28:28 +0200,2023-05-30 11:28:28 +0200,0:00:01
FeatureTest_TagsTest-Feature,Success,1,0,2023-05-22 16:42:44 +0100,2023-05-22 16:42:44 +0100,0:00:00
_BankAccount_usingBackground,Success,1,0,2023-06-05 09:06:01 +0200,2023-06-05 09:06:01 +0200,0:00:01
_BasicTags2,Success,1,0,2023-06-05 09:07:01 +0200,2023-06-05 09:07:01 +0200,0:00:00
_Regression,Success,2,1,2023-06-05 09:03:03 +0200,2023-06-05 09:05:44 +0200,0:00:00
_BasicTags1,Success,2,1,2023-06-05 09:06:17 +0200,2023-06-05 09:06:53 +0200,0:00:00
FeatureTest_Hooks-Feature,Success,26,5,2023-03-15 08:39:53 -0600,2023-06-05 09:04:19 +0200,0:00:57
FeatureTest_BasicTags-Feature,Success,16,0,2023-03-15 08:40:06 -0600,2023-06-05 09:07:01 +0200,0:00:00
_FeatureMaster1,Failure,4,1,2023-03-15 08:40:05 -0600,2023-06-05 09:04:14 +0200,0:00:35
_FeatureMaster3,Success,8,2,2023-05-22 17:58:26 +0200,2023-05-24 17:04:06 +0200,0:00:05
FeatureTest_BankAccount_usingBackground-Feature,Success,5,0,2023-03-15 08:40:05 -0600,2023-06-05 09:06:01 +0200,0:00:01
_BasicTags,Success,1,0,2023-06-05 09:06:09 +0200,2023-06-05 09:06:09 +0200,0:00:00
mik,Success,5,1,2023-06-08 11:58:58 +0200,2023-06-12 10:14:33 +0200,0:00:08
FeatureTest_ScenarioFailure-Feature,Failure,1,1,2023-05-22 16:42:39 +0100,2023-05-22 16:42:39 +0100,0:00:00
FeatureTest_NoHooks-Feature,Failure,12,5,2023-05-24 13:09:42 +0200,2023-05-30 10:24:19 +0200,0:00:06
FeatureTest_Regression-Feature,Success,8,0,2023-03-15 08:40:05 -0600,2023-06-05 09:05:44 +0200,0:00:00
_FeatureMaster2,Success,9,1,2023-05-22 17:57:18 +0200,2023-05-24 17:01:15 +0200,0:01:19
